N,x,h1,h2,h3,h4,h5
83, 215.788376, 134.644150, 125.913612, 132.218994, 136.099228, 122.324394
84, 218.388229, 131.830978, 125.622597, 131.636963, 136.584259, 121.451347
85, 220.988098, 129.793854, 125.816612, 131.248932, 136.487259, 121.645355
86, 223.587952, 128.629776, 126.495651, 131.054932, 136.390244, 123.391464
87, 226.187820, 128.726791, 127.659721, 131.442947, 136.293243, 124.846550
88, 228.787674, 130.084869, 128.726791, 132.413010, 136.293243, 126.107628
89, 231.387543, 131.636963, 129.308823, 133.189056, 136.293243, 126.398643
90, 233.987396, 133.189056, 129.890854, 134.062103, 136.293243, 126.495651
91, 236.587250, 134.547134, 130.666901, 134.450134, 135.905212, 126.204636
92, 239.187119, 135.905212, 131.442947, 134.741150, 135.420197, 125.816612
93, 241.786972, 137.069290, 132.024979, 134.741150, 134.935165, 125.816612
94, 244.386841, 137.457306, 132.218994, 134.838150, 135.323181, 126.301636
95, 246.986694, 137.457306, 131.636963, 134.741150, 135.614197, 126.883675
96, 249.586548, 136.972290, 130.860916, 134.644150, 136.099228, 128.144745
97, 252.186417, 136.681259, 130.278885, 134.353119, 135.808212, 129.017807
98, 254.786270, 136.487259, 128.726791, 134.256119, 135.420197, 130.084869
99, 257.386139, 136.293243, 125.719604, 134.353119, 134.159119, 129.987854
100, 259.985992, 135.905212, 122.324394, 135.032166, 133.189056, 128.920792
101, 262.585846, 135.323181, 120.481285, 135.517197, 132.801025, 125.525589
102, 265.185730, 134.644150, 120.772301, 135.032166, 133.189056, 121.063324
103, 267.785583, 133.965103, 120.578293, 132.704025, 133.868103, 119.317215
104, 270.385437, 133.674088, 121.645355, 129.114807, 134.644150, 121.063324
105, 272.985291, 133.965103, 123.391464, 125.137566, 135.420197, 125.137566
106, 275.585144, 134.838150, 125.719604, 121.063324, 135.905212, 127.659721
107, 278.185028, 135.808212, 125.913612, 117.571114, 136.002228, 130.278885
108, 280.784882, 136.972290, 124.361519, 115.436981, 136.293243, 134.547134
109, 283.384735, 137.651321, 123.391464, 114.660934, 136.584259, 139.300430
110, 285.984589, 138.136353, 123.488464, 114.272911, 136.196243, 142.695633
111, 288.584442, 138.136353, 124.652542, 116.019020, 134.159119, 142.113602
112, 291.184326, 138.039352, 125.913612, 121.257332, 132.121994, 139.882462
113, 293.784180, 137.457306, 128.920792, 129.793854, 129.987854, 136.972290
114, 296.384033, 136.196243, 132.898041, 132.510010, 129.502838, 135.129166
115, 298.983887, 134.256119, 136.390244, 129.502838, 129.211807, 134.353119
116, 301.583740, 132.510010, 136.390244, 121.354340, 130.375885, 134.644150
117, 304.183624, 130.860916, 134.256119, 117.571114, 131.054932, 134.838150
118, 306.783478, 129.405823, 132.510010, 115.339973, 131.345947, 134.450134
119, 309.383331, 127.562714, 131.151932, 115.339973, 129.502838, 133.868103
120, 311.983185, 127.465706, 129.696838, 114.660934, 127.368706, 133.868103
121, 314.583069, 128.144745, 125.040565, 114.175903, 125.040565, 134.256119
122, 317.182922, 129.696838, 122.615417, 112.623810, 123.294456, 133.189056
123, 319.782776, 129.308823, 121.257332, 109.616631, 121.742363, 131.636963
124, 322.382629, 127.562714, 122.033379, 107.385490, 120.966316, 129.793854
